State,name,Lat,Long, Unemployed 2010 ,Rate 2010, Unemployed 2012 ,Rate 2012, Unemployed 2014 ,Rate 2014, Unemployed 2016 ,Rate 2016,Unemployed 2018,Rate 2018, Unemployed 2019 ,Rate 2019, Unemployed Aug2020 ,Rate Aug2020
AL,Birmingham,33.520661,-86.810356,"52,965",9.8,"37,742",7,"32,009",6,"29,420",5.4,"19,088",3.5,"15,016",2.7,"31,017",5.6
AK,Anchorage,61.218056,-149.900284,"14,380",7.2,"12,272",6.1,"11,843",5.8,"12,450",6.1,"11,612",5.9,"10,662",5.5,"12,225",6.6
AZ,Phoenix,33.448376,-112.074036,"199,290",9.6,"150,728",7.4,"124,630",5.9,"103,851",4.6,"98,992",4.1,"102,018",4.1,"141,735",5.9
AR,Little Rock,34.746483,-92.289597,"24,877",7.2,"23,284",6.7,"18,494",5.4,"12,286",3.5,"11,757",3.3,"11,562",3.2,"29,400",8.4
CA,Los Angeles,34.052235,-118.243683,"615,101",12.5,"536,871",10.9,"412,299",8.3,"264,609",5.3,"235,195",4.6,"227,288",4.4,"818,251",16.6
CO,Denver,39.737567,-104.984718,"123,630",8.7,"112,015",7.7,"71,613",4.8,"47,564",3.1,"49,702",3,"44,452",2.7,"117,936",7
CT,Bridgeport,41.167041,-73.204835,"40,285",8.7,"36,846",8,"29,636",6.4,"23,454",5,"19,187",4.1,"17,453",3.7,"38,196",8.5
DE,Wilmington,39.745833,-75.546667,"31,122",8.7,"27,615",7.6,"21,685",5.9,"17,683",4.7,"14,886",3.9,"14,587",3.8,"34,947",9
DC,District of Columbia,38.895112,-77.036366,"161,399",6.5,"151,775",5.9,"135,821",5.2,"106,171",4,"91,936",3.4,"86,813",3.1,"188,107",6.9
FL,Jacksonville,30.332184,-81.655651,"74,912",10.7,"57,720",8.2,"44,622",6.2,"34,037",4.6,"26,784",3.5,"24,379",3.1,"44,948",5.8
GA,Atlanta,33.748995,-84.387982,"280,007",10.3,"245,528",8.8,"188,394",6.7,"150,406",5.1,"115,679",3.8,"100,428",3.2,"187,152",6.3
HI,Honolulu,21.306944,-157.858333,"26,560",6,"24,149",5.4,"18,736",4.1,"13,009",2.8,"11,053",2.4,"11,626",2.6,"45,634",10.6
ID,Boise,43.615019,-116.202314,"27,312",9.2,"12,639",6.2,"8,778",4.1,"7,428",3.3,"6,191",2.5,"6,369",2.5,"15,719",4.1
IL,Chicago,41.878114,-87.629798,"398,895",10.6,"351,538",9.3,"273,423",7.2,"220,621",5.8,"148,718",4,"135,581",3.6,"455,214",12.6
IN,Indianapolis,39.768403,-86.158068,"91,215",9.6,"77,469",8,"56,721",5.7,"42,166",4.1,"34,884",3.3,"32,316",3,"71,094",6.5
IA,Des Moines,41.586835,-93.624959,"18,708",5.8,"16,180",5,"13,878",4.1,"11,477",3.3,"8,954",2.5,"9,958",2.7,"22,537",6.5
KS,Wichita,37.687176,-97.330053,"27,384",8.6,"20,864",6.7,"16,228",5.2,"14,177",4.6,"11,222",3.6,"10,696",3.4,"32,897",10.2
KY,Louisville,38.252665,-85.758456,"62,000",9.9,"48,996",7.8,"36,522",5.8,"27,884",4.3,"25,943",3.9,"25,604",3.8,"47,319",7.1
LA,New Orleans,29.951066,-90.071532,"44,220",7.7,"40,440",7.1,"37,932",6.3,"32,989",5.5,"27,480",4.6,"26,751",4.5,"57,100",9.7
ME,Portland,43.661471,-70.255326,"13,382",6.8,"12,450",6.2,"9,131",4.5,"6,038",3,"5,474",2.6,"5,088",2.4,"13,045",6.3
MD,Baltimore,39.290385,-76.612189,"116,058",8.1,"105,281",7.2,"87,909",6,"67,843",4.6,"60,232",4,"55,093",3.6,"102,664",6.8
MA,Boston,42.360083,-71.05888,"107,673",7.2,"84,269",5.6,"75,633",4.9,"52,047",3.3,"47,718",2.9,"41,195",2.4,"285,575",10.8
MI,Detroit,42.331427,-83.045754,"137,127",7.3,"103,344",5.5,"75,790",4,"69,215",3.5,"53,887",2.7,"60,180",3,"101,556",12.9
MN,Minneapolis,44.977753,-93.265011,"45,597",7,"34,502",5.2,"25,421",3.8,"22,891",3.3,"17,664",2.5,"19,676",2.8,"160,134",7.9
MS,Jackson,32.298757,-90.18481,"23,291",8.7,"20,837",7.7,"16,322",6.3,"13,208",4.9,"11,350",4.2,"12,850",4.8,"18,230",7
MO,Kansas City,39.099727,-94.578567,"94,152",8.7,"69,911",6.5,"61,593",5.6,"48,124",4.3,"37,520",3.3,"37,109",3.3,"82,805",7.3
MT,Billings,45.783286,-108.50069,"4,865",5.9,"3,881",4.6,"3,181",3.7,"3,152",3.6,"2,864",3.3,"2,812",3.2,"4,393",4.9
NE,Omaha,41.256537,-95.934503,"23,631",5.1,"20,846",4.4,"17,126",3.6,"15,490",3.2,"14,671",3,"15,217",3.1,"22,526",4.5
NV,Las Vegas,36.169941,-115.13983,"135,431",13.8,"112,499",11.3,"81,124",8,"61,027",5.8,"51,401",4.7,"45,758",4,"170,575",15.5
NH,Manchester,42.99564,-71.454789,"6,849",6.1,"6,369",5.6,"4,836",4.2,"3,277",2.8,"2,928",2.4,"6,363",2.6,"7,681",6.4
NJ,Newark,40.735657,-74.172367,"116,215",9.1,"114,773",8.9,"81,497",6.5,"60,998",4.9,"50,497",4.1,"44,715",3.6,"136,324",10.9
NM,Albuquerque,35.084386,-106.650422,"34,021",8,"29,753",7.1,"27,274",6.5,"25,556",6,"19,894",4.6,"20,046",4.6,"45,841",11.2
NY,New York City,40.712784,-74.005941,"632,632",9.2,"627,843",9,"472,934",6.8,"348,468",5,"283,669",4.1,"261,996",3.7,"980,422",14
NC,Charlotte,35.227087,-80.843127,"130,927",11.5,"108,650",9.3,"74,407",6.2,"61,583",4.8,"49,772",3.7,"22,786",3.6,"94,230",7.2
ND,Fargo,46.877186,-96.789803,"5,018",4.1,"4,318",3.5,"3,438",2.7,"3,464",2.5,"3,327",2.4,"3,181",2.3,"5,518",3.9
OH,Columbus,39.961176,-82.998794,"90,418",9,"64,913",6.5,"50,816",4.9,"44,407",4.2,"41,863",3.9,"39,116",3.6,"91,000",8.3
OK,Oklahoma City,35.46756,-97.516428,"36,554",5.9,"29,236",4.5,"26,002",4,"27,930",4.2,"21,537",3.2,"20,814",3,"37,896",5.5
OR,Portland,45.523452,-122.676207,"123,713",10.2,"95,636",8,"73,586",6.1,"58,521",4.6,"50,188",3.8,"47,037",3.5,"110,462",8.4
PA,Philadelphia,39.952584,-75.165222,"95,636",9.8,"98,367",9.9,"71,964",7.3,"61,751",6.2,"50,691",5,"52,198",5.1,"144,848",14.1
RI,Providence,36.311004,-94.127431,"76,695",11.1,"68,210",10,"51,354",7.5,"34,537",5.1,"27,598",4,"24,736",3.6,"85,378",12.6
SC,Charleston,32.776475,-79.931051,"30,265",9.3,"26,094",7.6,19516,5.5,"16,120",4.3,"11,282",2.9,"9,483",2.4,"27,390",6.8
SD,Sioux Falls,43.547303,-96.728333,"6,347",4.8,"5,185",3.8,"4,084",2.9,"3,644",2.5,"3,962",2.6,"4,358",2.8,"6,559",4.2
TN,Nashville,36.162664,-86.781602,"75,866",8.6,"58,052",6.4,"47,505",5.2,"36,310",3.7,"28,891",2.8,"28,582",2.6,"90,660",8.3
TX,Houston,29.760427,-95.369803,"245,481",8.3,"205,441",6.6,"160,374",4.9,"173,728",5.3,"145,524",4.3,"130,043",3.8,"282,337",8.1
UT,Salt Lake City,40.760779,-111.891047,"44,360",7.7,"30,893",5.3,"22,594",3.7,"20,293",3.2,"19,342",3,"16,951",2.5,"31,656",4.7
VT,Burlington,44.475883,-73.212072,"6,182",5,"4,862",3.9,"3,967",3.2,"3,242",2.6,"2,592",2,"2,381",1.9,"5,083",4.3
VA,Virginia Beach,36.852926,-75.977985,"63,270",7.6,"56,908",6.8,"47,968",5.7,"39,010",4.7,"28,261",3.3,"26,607",3.1,"63,192",7.4
WA,Seattle,47.60621,-122.332071,"141,024",9.4,"99,735",6.6,"74,994",4.8,"64,196",3.9,"54,989",3.2,"49,205",2.8,"127,701",7.4
WV,Charleston,38.34982,-81.632623,"8,131",7.7,"7,386",7.1,"6,370",6.3,"5,729",5.9,"4,929",5.3,"4,468",4.8,"9,132",9.9
WI,Milwaukee,43.038903,-87.906474,"73,100",8.9,"60,779",7.4,"48,064",5.8,"35,675",4.3,"26,152",3.2,"28,854",3.5,"60,850",7.4
WY,Cheyenne,41.139981,-104.820246,"3,090",6.7,"2,744",5.8,"2,105",4.3,"2,032",4.2,"1,793",3.7,"1,678",3.5,"2,498",5.1
PR,San Juan,18.466334,-66.105722,"123,559",14.7,"99,540",12.5,"87,756",11.7,"74,414",10,"56,413",7.8,"49,702",6.9,"59,237",8.3
